id,artist,sculpt,name,img
f5d59ff5,TripleNight.Kaps,YAMA,OG(伍殿之主),https://cdn.keycap-archivist.com/keycaps/f5d59ff5.jpg
d7837ac4,TripleNight.Kaps,YAMA,OG(Normal),https://cdn.keycap-archivist.com/keycaps/d7837ac4.jpg
7bd2545,TripleNight.Kaps,YAMA,Lilith‘s Blood,https://cdn.keycap-archivist.com/keycaps/7bd2545.jpg
1c013ae,TripleNight.Kaps,YAMA,Night King,https://cdn.keycap-archivist.com/keycaps/1c013ae.jpg
f5f62135,TripleNight.Kaps,YAMA,Self-Obliterating,https://cdn.keycap-archivist.com/keycaps/f5f62135.jpg
dbd3166,TripleNight.Kaps,YAMA,Nightingale,https://cdn.keycap-archivist.com/keycaps/dbd3166.jpg
3e934399,TripleNight.Kaps,YAMA,T-8000,https://cdn.keycap-archivist.com/keycaps/3e934399.jpg
e5a09547,TripleNight.Kaps,YAMA,Claus,https://cdn.keycap-archivist.com/keycaps/e5a09547.jpg
3114b302,TripleNight.Kaps,YAMA,Lion Dance,https://cdn.keycap-archivist.com/keycaps/3114b302.jpg
6dee4733,TripleNight.Kaps,YAMA,ALPHA,https://cdn.keycap-archivist.com/keycaps/6dee4733.jpg
82f6c58e,TripleNight.Kaps,CrasCras,Black Eclipse,https://cdn.keycap-archivist.com/keycaps/82f6c58e.jpg
55b3d75f,TripleNight.Kaps,CrasCras,Pandora,https://cdn.keycap-archivist.com/keycaps/55b3d75f.jpg
525e68c5,TripleNight.Kaps,CrasCras,墨(Ink),https://cdn.keycap-archivist.com/keycaps/525e68c5.jpg
64e0ed4b,TripleNight.Kaps,CrasCras,羽(Feather),https://cdn.keycap-archivist.com/keycaps/64e0ed4b.jpg
2cd67e1,TripleNight.Kaps,CrasCras,Muninn,https://cdn.keycap-archivist.com/keycaps/2cd67e1.jpg
18035e52,TripleNight.Kaps,CrasCras,Huginn,https://cdn.keycap-archivist.com/keycaps/18035e52.jpg
c0acfd91,TripleNight.Kaps,CrasCras,OCCULT,https://cdn.keycap-archivist.com/keycaps/c0acfd91.jpg
