id,artist,sculpt,name,img
2f04370b,SM caps,Doll,Independence Day,https://cdn.keycap-archivist.com/keycaps/2f04370b.jpg
818dd0dc,SM caps,Doll,Jiangshi,https://cdn.keycap-archivist.com/keycaps/818dd0dc.jpg
61848e64,SM caps,Doll,Zero Two,https://cdn.keycap-archivist.com/keycaps/61848e64.jpg
a616292e,SM caps,Doll,Mictlan,https://cdn.keycap-archivist.com/keycaps/a616292e.jpg
8eb95b04,SM caps,Doll,Gray Space,https://cdn.keycap-archivist.com/keycaps/8eb95b04.jpg
4073f52f,SM caps,Doll,Hyper,https://cdn.keycap-archivist.com/keycaps/4073f52f.jpg
5ab83539,SM caps,Toad Li,Independence Day,https://cdn.keycap-archivist.com/keycaps/5ab83539.jpg
38111bd4,SM caps,Toad Li,Jiangshi,https://cdn.keycap-archivist.com/keycaps/38111bd4.jpg
f702326e,SM caps,Toad Li,Zero Two,https://cdn.keycap-archivist.com/keycaps/f702326e.jpg
a1154e7e,SM caps,Toad Li,Mictlan,https://cdn.keycap-archivist.com/keycaps/a1154e7e.jpg
b30a0426,SM caps,Toad Li,Gray Space,https://cdn.keycap-archivist.com/keycaps/b30a0426.jpg
d44356cc,SM caps,Toad Li,Hyper,https://cdn.keycap-archivist.com/keycaps/d44356cc.jpg
8c43a95d,SM caps,SM X GSK - Lion dance,BW,https://cdn.keycap-archivist.com/keycaps/8c43a95d.jpg
f5aaf71a,SM caps,SM X GSK - Lion dance,Jiangshi,https://cdn.keycap-archivist.com/keycaps/f5aaf71a.jpg
6e6c4e63,SM caps,SM X GSK - Lion dance,Zero Two,https://cdn.keycap-archivist.com/keycaps/6e6c4e63.jpg
e18cc1b3,SM caps,SM X GSK - Lion dance,Mictlan,https://cdn.keycap-archivist.com/keycaps/e18cc1b3.jpg
34f47949,SM caps,SM X GSK - Lion dance,Hyper,https://cdn.keycap-archivist.com/keycaps/34f47949.jpg
150e4145,SM caps,SM X GSK - Shi,BW,https://cdn.keycap-archivist.com/keycaps/150e4145.jpg
52dc7b6,SM caps,SM X GSK - Shi,Jiangshi,https://cdn.keycap-archivist.com/keycaps/52dc7b6.jpg
47ceae9b,SM caps,SM X GSK - Shi,Zero Two,https://cdn.keycap-archivist.com/keycaps/47ceae9b.jpg
5cde7123,SM caps,SM X GSK - Shi,Mictlan,https://cdn.keycap-archivist.com/keycaps/5cde7123.jpg
9b6e821,SM caps,SM X GSK - Shi,Hyper,https://cdn.keycap-archivist.com/keycaps/9b6e821.jpg
f7fee797,SM caps,Egg Supreman,Qixi,https://cdn.keycap-archivist.com/keycaps/f7fee797.jpg
c3906c55,SM caps,Egg Supreman,OG,https://cdn.keycap-archivist.com/keycaps/c3906c55.jpg
21008e91,SM caps,Egg Supreman,Action Kamen,https://cdn.keycap-archivist.com/keycaps/21008e91.jpg
5872887b,SM caps,Bang Bang,Violet (dark),https://cdn.keycap-archivist.com/keycaps/5872887b.jpg
35ad25ad,SM caps,Bang Bang,Violet (light),https://cdn.keycap-archivist.com/keycaps/35ad25ad.jpg
d7cb75c6,SM caps,Bang Bang,OG,https://cdn.keycap-archivist.com/keycaps/d7cb75c6.jpg
aba9ae56,SM caps,Bang Bang,Toxic green,https://cdn.keycap-archivist.com/keycaps/aba9ae56.jpg
36d14e66,SM caps,Fulu,,https://cdn.keycap-archivist.com/keycaps/36d14e66.jpg
2331013c,SM caps,Fulu,OG Red,https://cdn.keycap-archivist.com/keycaps/2331013c.jpg
cd216f0,SM caps,Fulu,OG Orange,https://cdn.keycap-archivist.com/keycaps/cd216f0.jpg
dec939e7,SM caps,Fulu,OG Yellow,https://cdn.keycap-archivist.com/keycaps/dec939e7.jpg
1ac5b266,SM caps,Fulu,OG Green,https://cdn.keycap-archivist.com/keycaps/1ac5b266.jpg
9fcabc8f,SM caps,Fulu,OG Cyan,https://cdn.keycap-archivist.com/keycaps/9fcabc8f.jpg
8f33b807,SM caps,Fulu,OG Blue,https://cdn.keycap-archivist.com/keycaps/8f33b807.jpg
9e2109aa,SM caps,Fulu,OG Purple,https://cdn.keycap-archivist.com/keycaps/9e2109aa.jpg
832d4a26,SM caps,SM X Bro Caps - Bang Pilot,OG,https://cdn.keycap-archivist.com/keycaps/832d4a26.jpg
e89aed91,SM caps,SM X Bro Caps - Bang Pilot,Tixic green,https://cdn.keycap-archivist.com/keycaps/e89aed91.jpg
